name,Popularity,Title,energy,temperature
Belgium,18.4,ochtendgymnastiek,1.0,8.28648424543947
Finland,241.4,how much is the fish?,0.999,2.50497512437811
Norway,72.0,ra ta ta 2011,0.999,2.803067993366501
Brazil,1199.2,movimento da sanfoninha - ao vivo,0.999,23.087697423108896
Sweden,128.0,fake,0.998,4.353648424543949
Germany,24.0,saufi saufi,0.997,6.118573797678278
Netherlands,69.60000000000001,sinterklaas kom maar binnen..,0.997
UK,38.4,"5, 6, 7, 8",0.997,8.138266998341624
Ireland,6.4,"5, 6, 7, 8",0.997,7.035655058043117
Global,57.6,its a raid,0.996
Switzerland,10.4,its a raid,0.996,7.28634604754008
USA,114.15,its a raid,0.996,
Costa Rica,20.0,people = shit,0.996,23.85530679933665
Canada,149.25,its a raid,0.996,-3.9558884727424055
Austria,5.6000000000000005,its a raid,0.996,7.180348258706467
Taiwan,138.7,dont stay,0.995,20.35737976782753
Portugal,60.0,dont stay,0.995,12.93905472636816
Indonesia,55.2,dont stay,0.995,28.435254803675857
Australia,47.2,dont stay,0.995,20.398009950248756
Malaysia,76.80000000000003,dont stay,0.995,28.783167495854066
Singapore,56.0,dont stay,0.995,28.366086235489217
Poland,38.40000000000001,dont stay,0.995,5.887645107794361
New Zealand,40.8,smack my bitch up,0.993,18.390961857379768
Denmark,1066.0,hårdere end dem,0.992,5.737562189054724
Chile,6.4,mayonesa,0.992,
Spain,14665.300000000008,la gozadera,0.989,12.12907683803206
Argentina,16183.95,la gozadera,0.989,21.102404643449418
Peru,24358.450000000008,la gozadera,0.989,
Mexico,15665.1,la gozadera,0.989,17.749930381509326
Ecuador,20306.000000000004,la gozadera,0.989,27.927860696517413
Colombia,18001.249999999996,la gozadera,0.989,14.483416252072963
Turkey,29.6,yo!,0.986,7.6674958540630165
France,74.4,quiet storm,0.985,10.453565505804313
Italy,74.4,i wanna kiss you so,0.983,10.133291873963515
Philippines,144.15,faint,0.978,28.786484245439468
