Year,AvgTemperature,Celsius
1995,52.6,11.444444444444445
1996,56.8,13.777777777777777
1997,77.4,25.222222222222225
1998,49.9,9.944444444444445
1999,52.0,11.11111111111111
2000,71.5,21.944444444444443
2001,47.5,8.61111111111111
2003,59.8,15.444444444444445
2004,58.8,14.88888888888889
2005,64.2,17.88888888888889
2006,77.6,25.33333333333333
2007,58.4,14.666666666666666
2008,79.2,26.22222222222222
2009,78.9,26.055555555555557
2010,78.1,25.611111111111107
2011,76.7,24.833333333333332
2012,57.3,14.055555555555554
2013,77.9,25.500000000000004
2014,53.8,12.111111111111109
2015,49.9,9.944444444444445
2016,76.3,24.61111111111111
2017,54.1,12.277777777777779
2018,78.5,25.833333333333332
2020,60.9,16.055555555555557
